incident_type,description_length,has_media,upvotes,flags,duplicate_score,similarity_to_previous,posted_at_night,account_age_days,total_reports_by_user,past_fraud_reports,user_total_flags,verified_user,fraud_label
violence,97,1,3,1,0.090658537775513,0.24695287988196238,0,131,22,0,7,0,0
power_outage,62,1,1,1,0.17295170844827779,0.16439829072020687,0,783,3,2,6,1,0
violence,18,0,1,1,0.06612060495839239,0.30956115340061974,0,509,8,0,13,1,0
gas_leak,138,1,1,2,0.0,0.08902589794129123,0,270,31,2,7,1,0
power_outage,86,1,3,0,0.0,0.008304465278425543,0,648,24,0,2,0,0
power_outage,45,0,2,0,0.46819102158396264,0.6583742011357643,1,684,22,2,0,1,0
power_outage,146,1,2,0,0.2656684722828708,0.2752481623835331,0,564,32,1,4,1,0
violence,17,1,1,2,0.34026069967446493,0.6395466632330069,1,646,28,1,11,1,0
violence,133,1,3,1,0.0,0.24483866930866022,0,819,24,2,5,1,0
gas_leak,56,1,2,3,0.1704821158193177,0.3289587287047056,0,736,33,1,13,1,0
violence,127,1,4,1,0.2550579034026763,0.05072823416542427,0,464,29,2,11,0,0
fire,100,1,4,1,0.2870170241212007,0.0,0,298,35,0,9,0,0
road_accident,52,0,2,0,0.39690749011864673,0.4679268228817447,0,404,24,0,0,0,0
gas_leak,108,0,0,0,0.2814699421584648,0.045786276910190216,0,822,35,1,8,1,0
violence,132,0,2,1,0.01265737106353973,0.5300968105095492,0,670,38,3,2,0,0
gas_leak,101,0,1,1,0.057239350348999796,0.4706181038107963,0,220,30,2,4,0,0
power_outage,50,0,3,2,0.08331160854193395,0.22175867059109453,0,793,31,2,2,1,0
gas_leak,131,1,4,0,0.34270634809755873,0.4784464877280522,1,408,13,0,6,1,0
gas_leak,148,1,1,1,0.5901185781027849,0.18104881644465082,0,51,25,0,13,1,1
violence,74,1,3,2,0.46787175396459496,0.31219100862694266,0,884,30,1,6,1,0
medical_emergency,149,1,2,0,0.22557087118271824,0.15162374558184727,0,641,1,0,13,1,0
road_accident,20,1,3,1,0.12759921985877037,0.2841485387831817,0,47,30,2,3,1,0
power_outage,43,1,2,2,0.1916088194378681,0.48115225015762725,0,762,19,1,0,1,0
medical_emergency,132,0,3,1,0.33033208264034525,0.6340605792798157,0,577,33,1,10,1,0
medical_emergency,39,1,3,0,0.6012304154324357,0.3399787156567492,1,626,11,2,3,1,0
power_outage,103,1,2,2,0.21081738341910033,0.6246942129967975,0,525,23,1,8,1,0
road_accident,90,1,0,0,0.3205675401518673,0.3188686881015789,0,735,19,1,4,1,0
power_outage,57,0,1,1,0.26364482047487076,0.18070957212197206,1,133,35,2,10,0,0
medical_emergency,149,1,0,1,0.1652131049887019,0.40801248433940907,1,165,38,3,12,1,0
road_accident,49,0,1,1,0.0,0.7425080701356681,0,858,19,0,2,1,0
violence,65,0,2,0,0.09755192729542064,0.33868759406517,0,117,6,1,12,0,0
gas_leak,24,1,1,0,0.5086158410589195,0.17457500574804252,0,12,10,2,7,1,0
medical_emergency,96,0,1,0,0.011390150409534172,0.1571986346045715,0,502,17,0,4,0,0
gas_leak,39,0,6,0,0.4622992217298316,0.23270608697382378,1,224,11,1,14,1,0
road_accident,102,1,0,0,0.28936295660970535,0.22890607700767407,1,709,31,1,2,1,0
medical_emergency,87,1,1,2,0.0036537792024657068,0.48387295249380113,0,881,32,0,14,1,0
gas_leak,7,1,4,0,0.5180281312992062,0.5694562921200284,0,435,39,0,11,0,0
fire,56,1,2,1,0.42435312723292207,0.5114331971808118,0,138,17,1,11,1,0
medical_emergency,130,0,1,0,0.3159876842974327,0.11503005341816117,0,360,4,0,2,0,0
power_outage,126,1,2,0,0.5529267635871286,0.9454091986269876,0,524,26,2,0,1,1
road_accident,51,0,0,2,0.4032437676280918,0.194909069366112,1,625,35,0,14,1,0
violence,82,1,1,0,0.35378025335003793,0.427812538635884,0,750,18,1,2,1,0
violence,43,1,1,0,0.28928009185559733,0.5776410305927702,0,580,10,1,12,1,0
road_accident,87,1,3,1,0.3393840686136639,0.3014371529414913,0,437,22,0,5,1,0
gas_leak,98,1,1,1,0.298682228640371,0.33744047263771576,0,223,6,0,11,0,0
gas_leak,66,0,2,1,0.1483797394114765,0.09948831909281641,0,787,20,1,0,1,0
gas_leak,41,1,3,1,0.6094614682317302,0.8459980319212336,0,898,13,1,3,1,0
fire,147,1,2,2,0.2805512711902673,0.37234847978641233,0,588,35,0,7,0,0
fire,109,0,2,0,0.3836256849266413,0.4108641276749719,0,601,25,1,7,1,0
gas_leak,101,0,1,2,0.3992930046130281,0.0,0,616,39,0,5,1,0
violence,19,0,5,1,0.1866175503453387,0.24366969145953882,1,834,10,1,9,1,0
violence,113,1,2,0,0.4234930573687651,0.593389361880031,1,95,36,1,10,1,0
gas_leak,138,1,2,1,0.6902353563310287,0.3823052954938069,0,623,12,0,3,0,0
road_accident,96,1,0,0,0.13706460081205413,0.22615268926718826,0,420,23,2,14,1,0
road_accident,57,1,1,0,0.40340436802544827,0.0,1,75,38,0,1,1,0
fire,112,0,2,0,0.4369887061201472,0.17544599292116186,1,662,26,0,4,1,0
violence,122,0,1,0,0.09324436342366088,0.0,0,435,19,0,13,1,0
fire,22,1,3,1,0.1858242238100662,0.40957406553036213,0,264,29,0,2,1,0
violence,91,0,4,0,0.7128470247439809,0.387251341725081,0,761,37,0,0,1,0
gas_leak,36,0,3,0,0.0,0.7911717335656796,1,514,1,1,3,1,0
violence,24,0,2,0,0.4249280842310924,0.34226043734085665,0,128,32,0,2,1,0
road_accident,107,1,2,2,0.4485445480200009,0.637856343616183,0,838,18,1,9,1,0
road_accident,126,0,0,0,0.08821601651635647,0.12259152562750689,0,731,34,1,8,1,0
power_outage,126,1,2,0,0.20949893739333242,0.6518980426075655,0,676,39,1,5,1,0
power_outage,60,1,0,0,0.14638519127720068,0.38050245366134033,0,507,34,1,1,1,0
road_accident,65,0,1,1,0.36383339302999373,0.5931386124066824,1,478,38,1,2,1,0
road_accident,78,0,1,2,0.37449172257115615,0.6715371137766106,1,81,23,1,5,0,0
fire,113,0,0,1,0.0,0.2801252335499899,1,335,7,0,7,0,0
gas_leak,120,0,2,1,0.1717906790621832,0.27270696913284015,0,98,3,1,7,1,0
road_accident,8,0,3,0,0.3784119262369802,0.3617543032809363,0,739,39,0,12,0,0
road_accident,20,0,3,1,0.1743663729227457,0.2795538477848732,0,142,30,2,1,1,1
gas_leak,77,1,1,2,0.1332606659093133,0.5504643330100416,0,380,6,3,14,0,0
road_accident,56,1,2,2,0.17514387854587876,0.32398756080009083,1,506,3,1,4,1,0
fire,24,0,1,1,0.10017599684123885,0.46785388909660097,0,160,35,0,7,0,0
power_outage,102,1,1,1,0.23757594730067902,0.30310533393243705,0,537,5,1,1,1,0
power_outage,94,1,1,2,0.25778890505397223,0.6076183551089573,1,115,3,0,1,1,0
