incident_type,description_length,has_media,upvotes,flags,duplicate_score,injuries_reported,people_involved,distance_to_responder,near_sensitive_location,time_of_day,priority_score
flood,10,0,2,0,0.04065853777551304,0,5,2.5931853429612692,0,night,32
gas_leak,67,1,0,0,0.10546943470793342,0,4,2.330001697519899,0,morning,54
infrastructure_failure,16,0,4,0,0.21712264117708457,0,7,4.962239554049675,0,afternoon,23
violence,70,0,3,0,0.05989123872363905,1,3,0.5779906924234526,1,evening,85
violence,87,1,1,0,0.1791833091701167,1,7,2.837571869703565,0,afternoon,86
road_accident,95,0,1,2,0.3927773336631264,0,5,2.0107715993268904,0,night,44
fire,55,0,0,0,0.0,0,3,5.919223346726605,0,morning,47
violence,21,1,0,0,0.4220294248177503,0,3,4.29507033211851,0,night,53
road_accident,110,1,2,0,0.059231391266028915,0,5,4.432674753540055,0,evening,51
power_outage,69,1,2,0,0.3338680310788208,0,2,2.587517804307974,0,evening,22
medical_emergency,34,0,2,0,0.04334510817900672,0,1,2.3853849168106476,0,evening,48
violence,10,0,1,0,0.14795536583541044,0,1,5.2993217268764425,0,night,29
road_accident,60,1,1,0,0.4580327877121857,0,2,5.844746158808469,0,night,46
fire,66,0,4,0,0.3353479458836194,0,4,5.237280170451479,0,morning,49
medical_emergency,30,0,1,0,0.05901440737947733,0,7,2.7914646643475134,0,evening,55
power_outage,16,0,1,1,0.3334233143081392,0,1,4.071742147346532,0,afternoon,12
fire,106,0,2,0,0.2407318885097975,1,6,5.364283151668605,0,night,69
medical_emergency,24,1,2,1,0.003090726367674712,1,4,5.619427484337509,0,afternoon,71
power_outage,37,1,2,1,0.4176887547235941,0,6,4.68351200812239,0,night,36
violence,13,1,0,2,0.2709811912636694,0,1,0.42315233676415254,0,morning,32
road_accident,74,0,2,0,0.09031279234080558,0,5,1.7102535866879487,0,morning,53
medical_emergency,50,0,2,1,0.21664619687919748,0,7,5.419383746852997,0,evening,57
flood,94,1,5,0,0.24181330847175292,0,2,3.887598028515107,0,morning,18
flood,67,1,2,0,0.5600626560390987,0,6,2.4617498952632464,0,afternoon,38
power_outage,62,1,0,0,0.6300264723306432,1,7,7.555510268305174,0,morning,30
medical_emergency,55,1,3,0,0.0,0,6,4.199087471361661,0,evening,58
gas_leak,54,0,2,0,0.07759921985877037,0,7,2.920507141291999,0,morning,58
violence,76,1,2,0,0.3394341296172806,0,7,3.503989944628288,0,night,61
power_outage,108,0,3,0,0.583946007438128,1,4,0.7945931589495041,0,night,54
fire,15,1,0,0,0.3909149441878539,0,6,2.4298479146848067,0,night,63
medical_emergency,43,1,0,0,0.3619279775779851,0,7,4.17605894592854,0,afternoon,53
gas_leak,96,0,2,0,0.2890279805387086,0,3,6.916291506846517,0,morning,35
infrastructure_failure,59,1,2,0,0.2583499434479196,0,1,3.213685280391094,0,morning,17
fire,118,1,2,1,0.5766297096233828,0,4,7.490066466933596,0,night,46
medical_emergency,15,0,1,0,0.0,0,7,3.673819831336924,0,afternoon,61
